,lon,lat,city,state
1200,-97.3307658,32.7554883,Fort Worth,TX
3,-97.330053,37.6871761,Wichita,KS
635,-97.330053,37.6871761,Wichita,KS
1641,-97.330053,37.6871761,Wichita,KS
1619,-97.3144625,33.6239966,Myra,TX
740,-97.2872402,33.1828974,Ponder,TX
88,-97.2155596,31.3865592,Lorena,TX
753,-97.1705678,32.8234621,Hurst,TX
603,-97.1466695,31.549333,Waco,TX
598,-97.1436254,34.1742611,Ardmore,OK
1056,-97.1416768,32.5631924,Mansfield,TX
939,-97.1330683,33.2148412,Denton,TX
587,-97.1080656,32.735687,Arlington,TX
938,-97.1080656,32.735687,Arlington,TX
126,-97.0819541,32.8370727,Euless,TX
1160,-97.0819541,32.8370727,Euless,TX
72,-97.0583681,36.1156071,Stillwater,OK
262,-97.0068393,35.275439,Pottawatomie County,OK
312,-97.0035982,28.8052674,Victoria,TX
914,-96.9488945,32.8140177,Irving,TX
1062,-96.9488945,32.8140177,Irving,TX
1620,-96.8645856,32.7362591,Oak Cliff,TX
279,-96.8570738,32.5896998,DeSoto,TX
406,-96.8350999,32.2619765,Ellis County,TX
1654,-96.8350999,32.2619765,Ellis County,TX
1191,-96.8291685,32.96179,Addison,TX
100,-96.7969879,32.7766642,Dallas,TX
491,-96.7969879,32.7766642,Dallas,TX
650,-96.7969879,32.7766642,Dallas,TX
715,-96.7969879,32.7766642,Dallas,TX
1040,-96.7969879,32.7766642,Dallas,TX
661,-96.76697,35.9850639,Cushing,OK
995,-96.7311034,43.5445959,Sioux Falls,SD
434,-96.7130521,32.6492999,Hutchins,TX
164,-96.6851982,40.8257625,Lincoln,NE
899,-96.6851982,40.8257625,Lincoln,NE
1474,-96.6851982,40.8257625,Lincoln,NE
1350,-96.6655688,34.8611959,Byng,OK
726,-96.6397822,33.1972465,McKinney,TX
332,-96.6388833,32.912624,Garland,TX
333,-96.6388833,32.912624,Garland,TX
1184,-96.6197416,37.8152985,Rosalia,KS
822,-96.5991593,32.7667955,Mesquite,TX
894,-96.5383228,32.6395776,Seagoville,TX
880,-96.5024916,33.8531568,Colbert,OK
1501,-96.4533193,32.4626396,Rosser,TX
837,-96.3952963,36.4142357,Hominy,OK
214,-96.2800864,34.568577,Coal County,OK
1459,-96.2571858,29.9502253,Bellville,TX
267,-96.2136136,35.9436968,Kellyville,OK
1698,-96.1600132,41.004443,Louisville,NE
274,-96.108891,36.1398102,Sand Springs,OK
38,-96.1008056,32.3665322,Mabank,TX
68,-95.9979883,41.2523634,Omaha,NE
133,-95.9979883,41.2523634,Omaha,NE
370,-95.9979883,41.2523634,Omaha,NE
456,-95.9979883,41.2523634,Omaha,NE
1059,-95.9979883,41.2523634,Omaha,NE
1265,-95.9979883,41.2523634,Omaha,NE
1367,-95.9979883,41.2523634,Omaha,NE
1656,-95.9979883,41.2523634,Omaha,NE
250,-95.992775,36.1539816,Tulsa,OK
1438,-95.992775,36.1539816,Tulsa,OK
1528,-95.992775,36.1539816,Tulsa,OK
1531,-95.992775,36.1539816,Tulsa,OK
1680,-95.992775,36.1539816,Tulsa,OK
395,-95.9832577,35.6795873,Okmulgee County,OK
865,-95.9832577,31.2152685,Leon County,TX
1076,-95.9566635,35.5145495,Schulter,OK
593,-95.9510661,29.7860643,Brookshire,TX
1465,-95.8998969,29.6931119,Fulshear,TX
1101,-95.8142885,32.1321367,Henderson County,TX
71,-95.8085623,29.5571825,Rosenberg,TX
697,-95.7697131,34.9334298,McAlester,OK
273,-95.6890185,39.0558235,Topeka,KS
1174,-95.6890185,39.0558235,Topeka,KS
400,-95.6307891,31.7621153,Palestine,TX
422,-95.6160549,30.0971621,Tomball,TX
1046,-95.5824846,35.2873206,Eufaula,OK
718,-95.555513,33.6609389,Paris,TX
1124,-95.4624548,33.6631622,Reno,TX
31,-95.4343859,29.0338575,Lake Jackson,TX
1689,-95.4171601,30.0799405,Spring,TX
698,-95.3988291,29.0246906,Clute,TX
1566,-95.3776663,45.8848164,Alexandria,MN
75,-95.3698028,29.7604267,Houston,TX
125,-95.3698028,29.7604267,Houston,TX
156,-95.3698028,29.7604267,Houston,TX
283,-95.3698028,29.7604267,Houston,TX
448,-95.3698028,29.7604267,Houston,TX
489,-95.3698028,29.7604267,Houston,TX
572,-95.3698028,29.7604267,Houston,TX
620,-95.3698028,29.7604267,Houston,TX
783,-95.3698028,29.7604267,Houston,TX
823,-95.3698028,29.7604267,Houston,TX
833,-95.3698028,29.7604267,Houston,TX
1142,-95.3698028,29.7604267,Houston,TX
1187,-95.3698028,29.7604267,Houston,TX
1188,-95.3698028,29.7604267,Houston,TX
1206,-95.3698028,29.7604267,Houston,TX
1207,-95.3698028,29.7604267,Houston,TX
1318,-95.3698028,29.7604267,Houston,TX
1391,-95.3698028,29.7604267,Houston,TX
1513,-95.3698028,29.7604267,Houston,TX
1705,-95.3698028,29.7604267,Houston,TX
40,-95.3696909,35.7478769,Muskogee,OK
1411,-95.3694116,35.9595442,Wagoner,OK
12,-95.3596617,28.9541368,Freeport,TX
1691,-95.3520876,32.8296216,Wood County,TX
925,-95.3169136,36.3084275,Pryor,OK
824,-95.2944129,36.1150237,Norwood,OK
1240,-95.1610438,30.2329914,Splendora,TX
306,-95.1441197,34.1237158,Rufe,OK
198,-95.1163261,30.805746,Onalaska,TX
244,-94.9774274,29.7355047,Baytown,TX
462,-94.969956,35.91537,Tahlequah,OK
1590,-94.969956,35.91537,Tahlequah,OK
230,-94.9271868,38.8108408,Gardner,KS
310,-94.8774554,36.8745146,Miami,OK
315,-94.7608801,35.6826766,Bunch,OK
52,-94.7404891,32.5007037,Longview,TX
657,-94.7404891,32.5007037,Longview,TX
1512,-94.7391045,34.0292764,Broken Bow,OK
407,-94.7363152,30.4471514,Fuqua,TX
1345,-94.6554874,31.6035129,Nacogdoches,TX
107,-94.6274636,39.114053,Kansas City,KS
524,-94.6274636,39.114053,Kansas City,KS
188,-94.5785667,39.0997265,Kansas City,MO
504,-94.5785667,39.0997265,Kansas City,MO
684,-94.5785667,39.0997265,Kansas City,MO
1081,-94.5785667,39.0997265,Kansas City,MO
1415,-94.5785667,39.0997265,Kansas City,MO
1110,-94.4554782,32.2429366,Beckville,TX
495,-94.4446742,39.1097268,Sugar Creek,MO
1067,-94.4446742,39.1097268,Sugar Creek,MO
537,-94.3840777,29.8202205,Winnie,TX
1236,-94.3821724,38.9108408,Lee's Summit,MO
827,-94.3692926,44.8925483,Hutchinson,MN
896,-94.3618967,39.8891658,Maysville,MO
1377,-94.3488372,38.6533445,Harrisonville,MO
1144,-94.2816148,39.0169509,Blue Springs,MO
1231,-94.2816148,39.0169509,Blue Springs,MO
1464,-94.2471515,36.0420248,Farmington,AR
1119,-94.2396554,34.5862171,Mena,AR
1687,-94.1632404,45.5579451,St. Cloud,MN
1306,-94.1574263,36.0625795,Fayetteville,AR
1168,-94.1265562,30.080174,Beaumont,TX
1435,-93.9535558,38.9991748,Odessa,MO
1418,-93.939947,29.8849504,Port Arthur,TX
1476,-93.8802273,42.0597047,Boone,IA
1639,-93.7932554,36.8242287,McDowell,MO
556,-93.7501789,32.5251516,Shreveport,LA
679,-93.7501789,32.5251516,Shreveport,LA
800,-93.7501789,32.5251516,Shreveport,LA
384,-93.7321228,32.5159852,Bossier City,LA
1109,-93.7121656,41.6266555,Urbandale,IA
1243,-93.7102493,46.5330129,Aitkin,MN
1165,-93.6910292,34.659264,Sims,AR
632,-93.6221657,47.2640071,Cohasset,MN
14,-93.6091064,41.6005448,Des Moines,IA
424,-93.6091064,41.6005448,Des Moines,IA
1118,-93.4801942,37.1200526,Republic,MO
546,-93.4555093,45.0105194,Plymouth,MN
893,-93.4379639,36.5636755,Lampe,MO
62,-93.3866185,45.0380201,New Hope,MN
35,-93.2982799,44.840798,Bloomington,MN
744,-93.2938352,45.8769031,Mora,MN
120,-93.2922989,37.2089572,Springfield,MO
